Date,Open,High,Low,Close
12/14/2012,1696.95,1700.45,1693.4,1695.85
12/13/2012,1708.95,1709.85,1689.6,1696.75
12/12/2012,1709.35,1723.5,1707.35,1709.15
12/11/2012,1711.55,1714.45,1704.85,1709.25
12/10/2012,1703.65,1717.4,1702.85,1711.65
12/9/2012,1703.65,1705.15,1702.75,1703.55
12/7/2012,1700.15,1705.2,1684.3,1704.05
12/6/2012,1692.15,1702.65,1685.8,1700.05
12/5/2012,1695.15,1706.75,1684.65,1692.35
12/4/2012,1716.05,1716.65,1691.3,1695.25
12/3/2012,1716.85,1722.95,1713.2,1716.25
12/2/2012,1715.05,1715.05,1715.05,1715.05
11/30/2012,1726.05,1731.65,1708.95,1715.05
11/29/2012,1722.55,1728.65,1717.95,1725.95
11/28/2012,1742.05,1743.25,1706,1722.45
11/27/2012,1749.85,1752.05,1740.55,1742.15
11/26/2012,1750.75,1752.45,1746.25,1749.75
11/25/2012,1751.8,1751.9,1749.95,1750.65
11/23/2012,1729.95,1754.6,1729.05,1752.2
11/22/2012,1731.05,1732.75,1728.25,1730.05
11/21/2012,1726.65,1731.6,1720.55,1730.95
11/20/2012,1730.15,1735.65,1722.2,1726.75
11/19/2012,1717.75,1735.85,1716.15,1730.25
11/18/2012,1714.75,1718.55,1714.35,1717.65
11/16/2012,1715.45,1717.05,1705.85,1713.95
11/15/2012,1724.55,1727.95,1704.65,1715.55
11/14/2012,1726.25,1733.95,1720.55,1724.45
11/13/2012,1726.45,1732.85,1718.1,1726.35
11/12/2012,1734.55,1738.05,1725.9,1726.55
11/11/2012,1731.65,1736.35,1731.65,1734.75
11/9/2012,1731.75,1738.55,1726.85,1730.65
11/8/2012,1716.85,1734.85,1712.6,1731.85
11/7/2012,1711.25,1731.55,1702.85,1716.75
11/6/2012,1685.85,1720.7,1683.15,1711.15
11/5/2012,1681.95,1686.25,1672.15,1685.65
11/4/2012,1676.35,1681.95,1675.95,1681.85
11/2/2012,1715.55,1716.55,1674.4,1677.55
11/1/2012,1720.05,1726.65,1713.55,1715.85
10/31/2012,1710.95,1725.85,1710.65,1719.85
10/30/2012,1707.95,1715.05,1706.35,1711.05
10/29/2012,1714.25,1717.25,1704.85,1708.05
10/28/2012,1711.55,1714.05,1710.25,1713.85
10/26/2012,1713.65,1718.75,1700.75,1711.25
10/25/2012,1705.05,1717.75,1704.65,1713.55
10/24/2012,1710.85,1714.25,1698.8,1704.95
10/23/2012,1727.75,1729.05,1703.85,1710.75
10/22/2012,1717.75,1729.95,1717.35,1727.65
10/21/2012,1719.75,1720.35,1713.55,1717.45
10/19/2012,1741.85,1742.95,1715.7,1721.35
10/18/2012,1748.15,1752.05,1738.15,1741.95
10/17/2012,1749.25,1753.65,1742.95,1748.05
10/16/2012,1735.85,1750.05,1734.85,1749.35
10/15/2012,1742.45,1749.05,1728.85,1735.95
10/14/2012,1753.75,1753.95,1741.65,1742.35
10/12/2012,1769.05,1773.4,1752.1,1753.75
10/11/2012,1761.65,1775.05,1758.75,1769.15
10/10/2012,1762.65,1768.35,1757.35,1761.35
10/9/2012,1777.35,1779.75,1760.25,1762.55
10/8/2012,1778.75,1779.45,1766.55,1777.55
10/7/2012,1780.85,1780.85,1776.55,1778.85
10/5/2012,1792.45,1795.95,1773.1,1780.55
10/4/2012,1779.95,1795.35,1777.95,1792.55
10/3/2012,1773.05,1781.65,1770.95,1780.05
10/2/2012,1777.25,1784.35,1771.05,1772.95
10/1/2012,1765.55,1791.5,1763.35,1777.15
9/30/2012,1771.15,1771.25,1765.25,1765.65
9/28/2012,1777.45,1783.25,1767.2,1771.95
9/27/2012,1754.65,1780.4,1752.95,1777.35
9/26/2012,1760.85,1765.65,1736.85,1754.75
9/25/2012,1764.95,1775.15,1758.85,1760.75
9/24/2012,1770.05,1770.35,1755.75,1764.75
9/23/2012,1772.65,1772.85,1770.15,1770.15
9/21/2012,1769.75,1787.8,1769.15,1773.15
9/20/2012,1771.55,1772.65,1756.05,1769.45
9/19/2012,1768.45,1779.55,1762.9,1771.65
9/18/2012,1760.35,1773.55,1752.25,1768.65
9/17/2012,1774.35,1776.45,1754.05,1760.55
9/16/2012,1769.85,1777.35,1769.85,1774.25
9/14/2012,1768.15,1777.85,1765.65,1770.35
9/13/2012,1732.35,1772.5,1705.9,1768.25
9/12/2012,1733.65,1746.85,1725.55,1732.15
9/11/2012,1728.15,1738.15,1726.95,1733.85
9/10/2012,1736.35,1741.05,1724.85,1727.95
9/9/2012,1736.05,1736.25,1733.85,1736.15
9/7/2012,1698.65,1742.15,1689.05,1735.65
9/6/2012,1691.85,1713.35,1691.25,1698.75
9/5/2012,1692.65,1694.9,1687.25,1691.95
9/4/2012,1692.15,1698.65,1688.05,1692.55
9/3/2012,1688.45,1695.2,1685.35,1692.35
9/2/2012,1690.95,1692.85,1687.35,1688.55
8/31/2012,1655.25,1693.05,1646.45,1691.65
8/30/2012,1656.35,1664.1,1651.35,1654.95
8/29/2012,1667.05,1670.05,1652.25,1656.55
8/28/2012,1665.45,1672.4,1657.45,1666.95
8/27/2012,1674.15,1677.25,1663.15,1665.55
8/26/2012,1672.45,1674.95,1670.85,1674.05
8/24/2012,1668.75,1673.6,1662.95,1670.55
8/23/2012,1655.65,1675.15,1653.75,1668.95
8/22/2012,1637.65,1655.95,1634.5,1655.55
8/21/2012,1619.45,1641.45,1618.95,1637.75
8/20/2012,1617.15,1622.65,1610.2,1619.55
8/19/2012,1616.15,1618.15,1615.85,1617.35
8/17/2012,1614.85,1620.1,1611.85,1615.75
8/16/2012,1603.75,1618.05,1600.55,1614.95
8/15/2012,1599.85,1606.05,1589.75,1603.65
8/14/2012,1610.45,1616.25,1593.3,1600.15
8/13/2012,1621.15,1625.55,1607.2,1610.55
8/12/2012,1620.95,1622.05,1617.95,1621.25
8/10/2012,1616.35,1626.35,1605.85,1619.65
8/9/2012,1612.55,1618.3,1609.75,1616.45
8/8/2012,1610.65,1616.75,1603.45,1612.65
8/7/2012,1611.45,1618.4,1608.45,1610.75
8/6/2012,1605.45,1615.45,1603.35,1611.55
8/5/2012,1604.75,1605.95,1602.35,1605.25
8/3/2012,1589.25,1606.5,1585.9,1603.15
8/2/2012,1602.05,1614.8,1584.3,1589.35
8/1/2012,1613.25,1618.35,1592.35,1601.95
7/31/2012,1621.45,1628.2,1610.9,1613.35
7/30/2012,1623.35,1624.85,1614.6,1621.35
7/29/2012,1623.65,1626.35,1622.45,1622.85
7/27/2012,1613.15,1629.25,1611.45,1622.95
7/26/2012,1602.45,1621.45,1600.65,1613.35
7/25/2012,1579.45,1609.6,1579.15,1602.25
7/24/2012,1576.95,1584.2,1568.5,1579.85
7/23/2012,1580.65,1581.65,1563,1576.75
7/22/2012,1580.55,1582.35,1578.35,1580.85
7/20/2012,1583.35,1586.65,1572.95,1583.85
7/19/2012,1573.05,1591.3,1572.35,1583.45
7/18/2012,1583.55,1585.45,1567.1,1573.15
7/17/2012,1590.15,1598.35,1570.95,1583.75
7/16/2012,1590.35,1594.35,1577.75,1590.05
