Date,Open,High,Low,Close
8/21/2013,97.33,97.98,97.12,97.81
8/20/2013,97.61,97.86,96.92,97.33
8/19/2013,97.67,98.12,97.36,97.61
8/18/2013,97.61,97.75,97.53,97.67
8/16/2013,97.06,97.78,97.06,97.61
8/15/2013,97.78,98.64,97.06,97.08
8/14/2013,98.14,98.43,97.78,97.78
8/13/2013,97.19,98.34,97.14,98.15
8/12/2013,96.06,97.31,95.98,97.19
8/11/2013,96.25,96.39,95.93,96.06
8/9/2013,96.77,96.95,96.13,96.25
8/8/2013,96.57,96.94,95.81,96.77
8/7/2013,97.35,97.53,96.33,96.56
8/6/2013,98.25,98.58,97.11,97.34
8/5/2013,98.92,99.15,98.19,98.25
8/4/2013,98.95,99.06,98.88,98.94
8/2/2013,99.44,99.95,98.67,98.95
8/1/2013,97.84,99.58,97.66,99.42
7/31/2013,98.02,98.53,97.58,97.84
7/30/2013,98.05,98.47,97.76,98.01
7/29/2013,97.97,98.2,97.64,98.05
7/28/2013,98.3,98.34,97.78,97.96
7/26/2013,99.25,99.36,97.96,98.3
7/25/2013,100.41,100.42,98.89,99.25
7/24/2013,99.52,100.45,99.42,100.41
7/23/2013,99.33,100.19,99.15,99.52
7/22/2013,100.38,100.38,99.24,99.31
7/21/2013,100.42,100.62,100.19,100.39
7/19/2013,100.56,100.86,99.81,100.61
7/18/2013,99.58,100.66,99.47,100.56
7/17/2013,99.11,99.94,99.05,99.58
7/16/2013,99.95,100.03,98.9,99.11
7/15/2013,99.2,100.48,99.08,99.95
7/14/2013,99.25,99.39,99.16,99.2
7/12/2013,98.83,99.69,98.67,99.25
7/11/2013,99,99.62,98.28,98.83
7/10/2013,101.17,101.19,98.28,99.02
7/9/2013,100.94,101.3,100.84,101.19
7/8/2013,101.5,101.5,100.78,100.94
7/7/2013,101.25,101.53,101.23,101.48
7/5/2013,100.25,101.22,99.89,101.17
7/4/2013,99.81,100.33,99.5,100.25
7/3/2013,100.77,100.83,99.26,99.81
7/2/2013,99.62,100.86,99.52,100.77
7/1/2013,99.44,99.86,99.19,99.62
